Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,Section
ITA-1.10.2,Lesser triad of Ayurveda texts,"The supportive texts of Ayurveda. Madhavanidana, Sharangadharasamhita and Bhavaprakāśa.","Laghutrayī (Mādhavanidāna, Śārṅgadharasaṃhitā, Bhāvaprakāśa)","लघुत्रयी (माधवनिदान, शार्ङ्गधरसंहिता, भावप्रकाश)",,,"Unknown"
ITA-1.10.3,Materia medica,"A glossary setting out synonyms, as well as the properties, names and actions of drugs, plants, minerals or other substances administered either as food or medicines to the human body.",nighaṇṭuḥ,निघण्टुः,,,"Unknown"
ITA-1.11.1,Ten items for clinical investigation,"Ten important aspects of medical examination: principal agent (karana); tool, instrument (karana); substratum of treatment (karyayoni); treatment protocol (karya); immediate outcome, primary endpoint (karyaphala); consequence, long-term effect (anubandha); habitat (desha); time (kala); action (pravritti); and ailment-countering stratagem, means of action (upaya).","daśavidhaparīkṣyabhāvaḥ (kāraṇa, karaṇa, kāryayoni, kārya, kāryaphala, anubandha, deśaḥ, kālaḥ, pravṛttiḥ, upāyaḥ)","दशविधपरीक्ष्यभावः (कारण, करण, कार्ययोनि, कार्य, कार्यफल, अनुबन्ध, देशः, कालः, प्रवृत्ति, उपायः)",,,"Unknown"
ITA-1.11.2,Principal agent,"The means by which an action is effectuated, the idea expressed by instrumental cause: in the medical context may often refer to the physician, who is instrumental in maintaining fundamental bodily equilibrium.",kāraṇam,कारणम्,,,"Unknown"
ITA-1.11.3,"Tool, instrument","The tool or instrument used for treatment, i.e. a medicine or procedure.",karaṇam,करणम्,,,"Unknown"
ITA-1.11.4,Substratum of treatment,"The intimate cause of illness, i.e. a disturbance of the fundamental bodily equilibrium.",kāryayoniḥ,कार्ययोनिः,,,"Unknown"
ITA-1.11.5,Treatment protocol,"The process undertaken to attain health or the fundamental bodily equilibrium (dhatusamya), i.e. the treatment process.",kāryaḥ,कार्यः,,,"Unknown"
ITA-1.11.6,"Immediate outcome, primary endpoint","The aim of treatment: to bring mind, intellect, the sense organs and the body into equilibrium and attain a state of healthiness or happiness.",kāryaphalam,कार्यफलम्,,,"Unknown"
ITA-1.11.7,"Consequence, long-term effect","Continuity of effect or long-term outcome, which includes the achievement of healthy longevity.",anubandhaḥ,अनुबन्धः,,,"Unknown"
ITA-1.11.8,Habitat,"Land, habitat or environment; it may designate body parts as well as geographical regions.",deśaḥ,देशः,,,"Unknown"
ITA-1.11.9,Time,"Time in general including the seasons, the point when something occurs (which may refer to diseases).",kālaḥ,कालः,,,"Unknown"
ITA-1.11.10,Action,The onset of a treatment or therapeutic action.,pravṛttiḥ,प्रवृत्तिः,,,"Unknown"
ITA-1.11.11,"Ailment-countering stratagem, means of action","A word meaning excellence, goodness or skilfulness: it is often applied to the physician and the justness of any chosen therapy or means of action.",upāyaḥ,उपायः,,,"Unknown"
ITA-1.11.12,Prompt and appropriate action,The ability to make correct and rapid decisions under pressing conditions.,pratipattiḥ,प्रतिपत्तिः,,,"Unknown"
ITA-1.11.13,Components of medical practice,"These four components or elements are: the physician (vaidya, bhishak), materials for treatment (dravya), attendants or paramedics (upasthata) and the patient (rogi).",pādacatuṣṭayam,पादचतुष्टयम्,,,"Unknown"
ITA-1.11.14,Physician,"The physician or medical practitioner is expected to have the following qualities: to be an expert in medical treatment (daksha), academically qualified (trirthashastrartha), experienced (drishtakarma), in good physical and mental health (shuci) and able to fully appreciate the state of health or illness of the patient.",vaidyaḥ,वैद्यः,,,"Unknown"
ITA-1.11.15,Materials for treatment,"The material employed for treatment is expected to have the following qualities: utility in various dosage forms (bahukalpa), multitude of therapeutic qualities (bahuguna), wholesome nature (sampanna) and applicable in various contexts (yogyam).","dravya, auṣadha","द्रव्य, औषध",,,"Unknown"
ITA-1.11.16,"Attendants, paramedics","An attendant or paramedic is expected to have the following qualities: to be kind-hearted (anurakta), pure in mind, thoughts and action (shuci), skilled (daksha) and intelligent (buddhiman).",upasthātā,उपस्थाता,,,"Unknown"
ITA-1.11.17,Patient,"A patient is expected to have the following qualities: to be able to afford treatment personally or through a system support (adhya), consenting (bishagvashya), bear in mind instructions personally or through a reminder system (jnapakah) and exert willpower (satvavan).",rogi,रोगि,,,"Unknown"
Core Concepts,,,,,,,"Unknown"
Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,"Unknown"
ITA-2.1.1,Dosha,The regulatory functional factors of the body formed by the synchronized interplay between the five basic elements within any living system.,doṣaḥ,दोषः,,,"Unknown"
ITA-2.1.2,Three doshas or tridosha,"The three regulatory functional factors of the body are: vata, pitta and kapha.","tridoṣaḥ, śārīrikadoṣa","त्रिदोषः, शारीरिकदोष",,,"Unknown"
ITA-2.1.1.1,"Vata, dosha regulating movement and cognition","One of the three regulatory functional factors (dosha). The functional balance governing all sensory perceptions, motor activities and higher mental activities. The predominant basic elements in vata are air and space.",vātaḥ,वातः,,,"Unknown"
ITA-2.1.1.2,"Vata, dosha that provides the attribute of life to an organism, life force","Subtype of vata seated in the head and controlling the intellect, heart, sensory and motor organs and mind. It also regulates activities such as respiration, spitting, sneezing, belching and swallowing. Also denotes life or vitality, which is evidenced by breathing and all kinds of movements relating to the living body.",prāṇaḥ,प्राणः,,,"Unknown"
ITA-2.1.1.3,Ascending vata,"Subtype of vata seated in the chest region which extends from the umbilical region to the neck or throat. Its functions include effort, strength, governing the voice and speech production.",udānaḥ,उदानः,,,"Unknown"
ITA-2.1.1.4,Circulating vata,"Subtype of vata seated in the cardiac region (hṛdaya), which circulates or diffuses through the body. It performs the function of circulating of fluids through heart to all parts of the body, as well as transporting various materials from one body part to another.",vyānaḥ,व्यानः,,,"Unknown"
ITA-2.1.1.5,Kindling vata,Subtype of vata seated at the navel (between stomach and intestines) and close to digestive fire: it is responsible for metabolism and transformation.,samānaḥ,समानः,,,"Unknown"
ITA-2.1.1.6,Descending vata,"Subtype of vata seated in the pelvic region and its vicinity. It exerts a downward force. It controls functions like defecation, micturition, parturition, menstruation and ejaculation.",apānaḥ,अपानः,,,"Unknown"
ITA-2.1.1.7,Functions of vata,Pitta is one of the three regulatory functional factors; it is responsible for digestion and metabolism in the body. The predominant basic elements in pitta are fire and water.,vāta-karma,वात-कर्म,,,"Unknown"
ITA-2.1.1.8,Enthusiasm,,utsāhaḥ,उत्साहः,,,"Unknown"
ITA-2.1.1.9,Expiration,,ucchvāsaḥ,उच्छवासः,,,"Unknown"
ITA-2.1.1.10,"Inspiration, inhalation",,niḥśvāsaḥ,निःश्वासः,,,"Unknown"
ITA-2.1.1.11,"Motion, action, function",,ceṣṭā,चेष्टा,,,"Unknown"
ITA-2.1.1.12,Gait,,gatiḥ,गतिः,,,"Unknown"
ITA-2.1.1.13,Closure of eyelid,,nimeṣaḥ,निमेषः,,,"Unknown"
ITA-2.1.1.14,Opening of eyelid,,unmeṣaḥ,उन्मेषः,,,"Unknown"
ITA-2.1.2.1,"Pitta, dosha regulating body temperature and metabolic activities",One of the three regulatory functional factors; it is responsible for digestion and metabolism in the body. The predominant basic elements in pitta are fire and water.,pittam,पित्तम्,,,"Unknown"
ITA-2.1.2.2,Digesting pitta,Subtype of pitta mainly responsible for digestion. It divides the food into nutritive and waste portions and supports other subtypes of pitta.,pācaka-pittam,पाचकपित्तम्,,,"Unknown"
ITA-2.1.2.3,Colouring pitta,"Subtype of pitta seated in liver, spleen and its pigment in blood.",rañjaka-pittam,रञ्जकपित्तम्,,,"Unknown"
ITA-2.1.2.4,Pitta for vision,Subtype of pitta seated in the eye which is responsible for visual perception.,ālocaka-pittam,आलोचकपित्तम्,,,"Unknown"
ITA-2.1.2.5,Pitta for complexion,Subtype of pitta seated in the skin which is responsible for its glossiness or lustre.,bhrājakapittam,भ्राजकपित्तम्,,,"Unknown"
ITA-2.1.2.6,Pitta for intellect,Subtype of pitta seated in the heart which is responsible for driving the higher mental functions involving decisions and actions for accomplishments.,sādhakapittam,साधकपित्तम्,,,"Unknown"
ITA-2.1.2.7,Functions of pitta,General term for functions of pitta,pitta-karma,पित्तकर्म,,,"Unknown"
ITA-2.1.2.8,Lustre,,prabhā,प्रभा,,,"Unknown"
ITA-2.1.2.9,Hunger,,kṣudhā,क्षुधा,,,"Unknown"
ITA-2.1.2.10,Vision,,darśanam,दर्शनम्,,,"Unknown"
ITA-2.1.2.11,Metabolic transformation,,paktiḥ,पक्तिः,,,"Unknown"
ITA-2.1.2.12,Valour,,śauryam,शौर्यम्,,,"Unknown"
ITA-2.1.2.13,Thirst,,"tṛṣṇā, pipāsā","तृष्णा, पिपासा",,,"Unknown"
ITA-2.1.3.1,"Kapha, dosha responsible for cohesiveness","One of the three regulatory functional factors responsible for stability, unctuousness, lubrication, immunity and cohesion. The predominant basic elements in kapha are earth and water.","śleṣmā, kapha","श्लेष्मा, कफ",,,"Unknown"
ITA-2.1.3.2,Supporting kapha,Subtype of kapha seated in the chest region which supports and sustains the heart and other sites of kapha.,avalambaka-kaphaḥ,अवलम्बककफः,,,"Unknown"
ITA-2.1.3.3,Moistening kapha,Subtype of kapha seated in the stomach which helps to moisten and loosen food particles and thus aid digestion.,kledaka-kaphaḥ,क्लेदककफः,,,"Unknown"
ITA-2.1.3.4,Taste-perceiving kapha,Subtype of kapha seated in the tongue which assists with the perception of taste.,bodhaka-kaphaḥ,बोधककफः,,,"Unknown"
ITA-2.1.3.5,Nourishing kapha,Subtype of kapha seated in the head which nourishes the sensory organs.,tarpaka-kaphaḥ,तर्पककफः,,,"Unknown"
ITA-2.1.3.6,Lubricating kapha,Subtype of kapha seated in the joints which provides lubrication.,śleṣaka-kaphaḥ,श्लेषककफः,,,"Unknown"
ITA-2.1.3.7,Functions of kapha,"A combined term for the functions of kapha such as physical and mental strength, forgiveness.",kapha-karma,कफकर्म,,,"Unknown"
ITA-2.1.3.8,Patience,"A normal function of kapha. It signifies forbearance, forgiveness and resistance.",kṣamā,क्षमा,,,"Unknown"
ITA-2.1.3.9,Firmness,"A normal function of kapha. It signifies hardness, fixedness, stability and strength.",dārḍhyam,दार्ज्यम्,,,"Unknown"
ITA-2.2.1,Fundamental structural component,"The seven fundamental structural components of the body, which are formed from digested food. They provide nourishment and support to the body. They are primary circulating nutrient fluid (rasa), blood (rakta), muscle (mamsa), fat (medas), bone (asthi), bone marrow (majja) and semen (sukra). The Sanskrit term dhatu also denotes group of metallic ingredients for medicinal usage.",dhātuḥ,धातुः,,,"Unknown"
ITA-2.2.2,A bodily structure which can be vitiated by aggravated dosha,,dūṣyam,दूष्यम्,,,"Unknown"
ITA-2.2.3,Holding,"Signifies holding, carrying, preserving, protecting and possessing, which are common functions of all structural components. It underlines the importance of the fundamental structural component in holding the body and thereby life together and is also the specific function of bone, which supports other fundamental structural components by providing form and structure to the body.",dhāraṇam,धारणम्,,,"Unknown"
ITA-2.2.4,"Primary circulating nutrient fluid, primary product of digestion",The first of the seven fundamental structural components. Its major function is nourishment. It is the primary product of digestion and circulates constantly throughout the body from the heart and nourishes other tissues.,"rasa-dhātuḥ, rasaḥ","रसधातुः, रसः",,,"Unknown"
ITA-2.2.5,Blood,The second of the seven fundamental structural components. Its function is to give life. It is formed in the liver and spleen with the help of colouring pitta and its metabolic component and receives its name from the red colour.,"rakta-dhātuḥ, raktam, śoṇitam","रक्तधातुः, रक्तम्, शोणितम्",,,"Unknown"
ITA-2.2.6,Giving life,"One of the functions of blood is to give, quicken and vivify life.",jīvanam,जीवनम्,,,"Unknown"
ITA-2.2.7,Nourishment of blood,One of the functions of primary circulating nutrient fluid.,raktapustiḥ,रक्तपुष्टिः,,,"Unknown"
ITA-2.2.8,Muscle,The third of the seven fundamental structural components. Its function is to cover the skeleton.,"māmsa-dhātuḥ, māmsam, peśī","मांसधातुः, मांसम्, पेशी",,,"Unknown"
ITA-2.2.9,Fat,The fourth of the seven fundamental structural components. Its function is to provide oleation. It refers to adipose tissue and other lipids in the body.,medo-dhātuḥ,मेदोधातुः,,,"Unknown"
ITA-2.2.10,Bone,The fifth of the seven fundamental structural components. Its function is to provide bodily stability. It is composed predominantly of the basic elements earth and space. It refers to bone tissue.,asthi-dhātuḥ,अस्थिधातुः,,,"Unknown"
ITA-2.2.11,Diaphysis,Shaft or central portion of a long bone.,kāṇḍam,काण्डम्,,,"Unknown"
ITA-2.2.12,Short bones,Minor bones such as the carpal and tarsal bones.,anvasthi,अण्वस्थि,,,"Unknown"
ITA-2.2.13,"Articulation, joint",The junction or interface between two bones comprising bone and connective tissue.,"parva, asthisandhayah, asthiparva","पर्व, अस्थिसन्धयः, अस्थिपर्व",,,"Unknown"
ITA-2.2.14,Skeleton,The bony framework of the body.,asthipañjaraḥ,अस्थिपञ्जरः,,,"Unknown"
ITA-2.2.15,Medullary canal,The cavity within the bone containing marrow.,asthivivaram,अस्थिविवरम्,,,"Unknown"
ITA-2.2.16,Bone marrow,The sixth of the seven fundamental structural components. It is the soft organic material that fills bone cavities. Its function is replenishment of body tissues.,"majjā-dhātuḥ, asthisāram","मज्जाधातुः, अस्थिसारम्",,,"Unknown"
ITA-2.2.17,Replenishment,The essential function of bone marrow is to fill or complete a cavity or container; replenish the body with structural components.,pūraņam,पूरणम्,,,"Unknown"
ITA-2.2.18,Reproductive fluids; semen,"The seventh of the seven fundamental structural components. It is responsible for reproductive function, and is generally equated with reproductive cells (semen, ovum). It occurs in two forms: the first which pervades the entire body and the second which fertilizes the ovum.",śukradhātuḥ,शुक्रधातुः,,,"Unknown"
ITA-2.2.19,Semen,Part of seminal tissue. Predominantly composed of water element. It generally refers to the ejaculate and carries the male seed.,retas,रेतस्,,,"Unknown"
ITA-2.2.20,Seed,Factors responsible for conception.,bījam,बीजम्,,,"Unknown"
ITA-2.2.21,Male seed,Male factors responsible for conception.,pumbījam,पुंबीजम्,,,"Unknown"
ITA-2.2.22,Female seed,Female factors responsible for conception. Generally referred to along with menstrual fluid.,strībījam,स्त्रीबीजम्,,,"Unknown"
ITA-2.2.23,Virility,"Generative power, potency to produce a healthy progeny.",vrsatā,वृषता,,,"Unknown"
ITA-2.2.24,"Healthy sperm, ovum","Normal, healthy and potential sperm or ovum.",kārmuka-bījam,कार्मुकबीजम्,,,"Unknown"
ITA-2.2.25,Ojas,"The essence of seven fundamental structural components: vital for life, providing strength and resistance to disease and supporting mental function.",ojas,ओजस्,,,"Unknown"
ITA-2.2.26,Equilibrium of fundamental structural components,"Equilibrium of fundamental structural components is indicated by the absence or alleviation of disorder. Criteria for equilibrium of fundamental structural components include alleviation of disorder, normalcy of voice and complexion, development of the body, increase in strength, desire for food, proper and timely digestion of the food taken, timely sleep, elimination of urine, faeces and semen and overall normalcy of mind, intellect and senses.",dhātusāmyam,धातुसाम्यम्,,,"Unknown"
ITA-2.2.27,"Immunity, strength, physical endurance","This is classified into three types: innate strength, acquired strength and seasonal strength.","balam, vyādhikṣamatvam","बलम्, व्याधिक्षमत्वम्",,,"Unknown"
ITA-2.2.28,Innate strength,Innate strength or immunity present since birth.,sahaja-balam,सहजबलम्,,,"Unknown"
ITA-2.2.29,Acquired strength,Strength or immunity attained by the application of rational means such as rejuvenation therapy.,yuktikṛta-balam,युक्तिकृतबलम्,,,"Unknown"
ITA-2.2.30,Seasonal strength,"Strength attained by virtue of a favourable season or age, i.e. winter season, youth.",kālaja-balam,कालजबलम्,,,"Unknown"
ITA-2.3.1,Supportive structural component,"Supportive structural components; formed from the fundamental structural components; they do not undergo further transformation: breast milk, menstrual blood, tendons, tubular structures of the body, muscle fat, skin and sinews.",upadhātuh,उपधातुः,,,"Unknown"
ITA-2.3.2,Breast milk,Supportive structural component of primary circulating nutrient fluid. It is composed predominantly of the basic element water and nourishes the baby.,stanyam,स्तन्यम्,,,"Unknown"
ITA-2.3.3,Menstrual blood,Supportive structural component of primary circulating nutrient fluid (rasa).,"ārtavam, puspam, antahpuspam, śoņitam, ārtavaśoņitam, raja, rajasrāvaḥ","आर्तवम्, पुष्पम्, अन्तःपुष्पम्, शोणितम्, आर्तवशोणितम्, रज, रजस्रावः",,,"Unknown"
ITA-2.3.4,Tendon,Supportive structural component of blood.,kandarā,कण्डरा,,,"Unknown"
ITA-2.3.5,Intramuscular fat,Supportive structural component of muscle.,vasā,वसा,,,"Unknown"
ITA-2.4.1,Excretory products,"Waste products formed during various stages of digestion and metabolism; one of the fundamental constituents of the human body along with dosha (regulatory functional factors) and fundamental structural components; there are two categories: waste products from digestion of food and waste products from transformation of structural components. The waste products from digestion of food comprise urine and faeces. The waste products from transformation of structural components are: phlegm (excretory form of kapha) from the primary product of digestion (the primary circulating nutrient fluid), bile (excretory form of pitta) from blood, mucus of nose and ear wax from muscle, perspiration from fat, nails and hair from bone, and rheum of the eye from bone marrow.",malah,मलः,,,"Unknown"
ITA-2.4.2,Waste product,The by-products of either digestion or metabolism which are to be eliminated from the body.,kiṭṭam,किट्टम्,,,"Unknown"
ITA-2.4.3,Faeces,"A by-product of digestion, the function of which is to support the body in general and vata and digestive, metabolic factors in particular.","purīṣam, śakrt, vit","पुरीषम्, शकृत, विट",,,"Unknown"
ITA-2.4.4,Urine,"A by-product of digestion, whose function is to remove excess watery waste from the body.",mūtram,मूत्रम्,,,"Unknown"
ITA-2.4.5,Sweat,"The mala of fat, the function of which is to withhold moisture in the skin.",svedaḥ,स्वेदः,,,"Unknown"
ITA-2.4.6,Metabolic waste,The waste products of metabolism.,dhātumalah,धातुमलः,,,"Unknown"
ITA-2.4.7,Ear wax,,karnamalah,कर्णमलः,,,"Unknown"
ITA-2.4.8,Rheum,,akṣimalah,अक्षिमलः,,,"Unknown"
ITA-2.4.9,Mucus of the nose,,nāsikāmalah,नासिकामलः,,,"Unknown"
ITA-2.4.10,Mucus of the oral cavity,,āsyamalah,आस्यमलः,,,"Unknown"
ITA-2.4.11,Sebum,,lomakūpamalah,लोमकूपमलः,,,"Unknown"
ITA-2.4.12,Smegma,,prajananamalah,प्रजननमलः,,,"Unknown"
ITA-2.4.13,Beard and moustache,,śmaśru,श्मश्रु,,,"Unknown"
ITA-2.5.1,"Channel, conduit",Channels for the transportation of substances from one part to another.,srotah,स्रोतः,,,"Unknown"
ITA-2.5.2,Apertures of the body,The external and internal openings of the body.,kāyacchidram,कायच्छिद्रम्,,,"Unknown"
ITA-2.5.3,Air passages,Passages for air inside the body.,anilāyanam,अनिलायनम्,,,"Unknown"
ITA-2.5.4,Internal channel,"Internal tracts, channels, tubes and ducts.",antarmukhasrotah,अन्तर्मुखस्रोतः,,,"Unknown"
ITA-2.5.5,Anal or urethral passage,Passages in the lower part of the body leading to the exterior.,adhahsrotah,अधःस्रोतः,,,"Unknown"
ITA-2.5.6,Conduit for vital life,Channels in the body which originate from the heart and carry and circulate vital life (prana) throughout the body.,prāṇavahasrotah,प्राणवहस्रोतः,,,"Unknown"
ITA-2.5.7,Respiratory tract,The pathway for inhaled and exhaled air which extends from the external nares to the alveoli.,ucchväsamārgah,उच्छवासमार्गः,,,"Unknown"
ITA-2.5.8,"Channel, pathway for fluid circulation",Pathways which refer to water balance in the body.,"Udakavahasrotah, ambuvahasrotah, ambumārgah","उदकवहस्रोतः, अम्बुवहस्रोतः, अम्बुमार्गः",,,"Unknown"
ITA-2.5.9,Digestive tract,The pathway for food in the process of digestion.,annavahasrotah,अन्नवहस्रोतः,,,"Unknown"
ITA-2.5.10,Channel carrying nutrient fluids,The pathway mediating and distributing the primary circulating nutrient fluid to the body tissues. Entities related to this channel are the heart and vessels carrying primary circulating nutrient fluid.,rasavahasrotah,रसवहस्रोतः,,,"Unknown"
ITA-2.5.11,Channel carrying blood,The pathway which carries blood. Entities related to this channel are the liver and spleen.,Raktavahasrotah,रक्तवहस्रोतः,,,"Unknown"
ITA-2.5.12,Blood vessels,,asrgvahā,असृग्वहा,,,"Unknown"
ITA-2.5.13,Conduit nourishing muscle,Related entities are tendons and skin.,māmsavahasrotah,मांसवहस्रोतः,,,"Unknown"
ITA-2.5.14,Channel carrying fat,The pathway for fat. Entities related to this channel are the kidneys and omentum.,medovahasrotah,मेदोवहस्रोतः,,,"Unknown"
ITA-2.5.15,Channel carrying bone,The pathway for bone. Entities related to this channel are fat and the hip region.,asthivahasrotah,अस्थिवहस्रोतः,,,"Unknown"
ITA-2.5.16,Channel carrying bone marrow,The pathway for bone marrow. Entities related to this channel are bone and joints.,majjāvahasrotah,मज्जावहस्रोतः,,,"Unknown"
ITA-2.5.17,Channel carrying structural components of reproduction,The pathway for structural components of reproduction. Entities related to this channel are the testicles and penis.,śukravahasrotah,शुक्रवहस्रोतः,,,"Unknown"
ITA-2.5.18,Female reproductive system,All channels which are physiologically important in the regulation of the menstrual cycle.,ārtavavaha-srotah,आर्तववहस्रोतः,,,"Unknown"
ITA-2.5.19,Urinary tract,The pathway for urine. Entities related to this channel are the bladder and groin.,mūtravahasrotah,मूत्रवहस्रोतः,,,"Unknown"
ITA-2.5.20,Channel in which faeces is formed and excreted,The pathway for faeces. Entities related to this channel are the large intestines and rectum.,purīṣavahasrotah,पुरीषवहस्रोतः,,,"Unknown"
ITA-2.6.1,"Digestive, metabolic factors",The collective term for the various factors governing digestion and metabolism or food transformation which are basic element fire -predominant.,agnih,अग्निः,,,"Unknown"
ITA-2.6.2,Metabolic factors of the body,Factors responsible for digestion and metabolism or food transformation.,kāyāgnih,कायाग्निः,,,"Unknown"
ITA-2.6.3,Metabolic factors located in the digestive tract,Transformative factors in the gastrointestinal tract.,jāṭharāgnih,जाठराग्निः,,,"Unknown"
ITA-2.6.4,Digestion at gastrointestinal tract level,,avasthāpākah,अवस्थापाक,,,"Unknown"
ITA-2.6.5,"Transformation at the level of absorption, assimilation",,nisthāpākaḥ,निष्ठापाकः,,,"Unknown"
ITA-2.6.6,Metabolic factors located in structural components,"Transformative factors at structural component level which governs the transformation of one fundamental structural component into another: i.e. primary circulating nutrient metabolic factors, blood metabolic factors, muscle metabolic factors, fat metabolic factors, bone metabolic factors, bone-marrow metabolic factors, semen and reproductive tissue metabolic factors.","dhātvagnih [rasāgni, raktāgni, māmsāgni, medo-agni, asthyagni, majjādhātvagniḥ, śukradhātvagniḥ]","धात्वग्नि (रसाग्निः, रक्ताग्निः, मांसाग्निः, मेदो अग्निः, अस्थ्यग्निः, मज्जाधात्वग्निः, शुक्रधात्वग्निः)",,,"Unknown"
ITA-2.6.7,Transforming factors acting at the level of the basic elements,"Transformative factors at the level of the five basic elements. It acts at two levels: 1. together with digestive fire during digestion; and 2. together with metabolic factors located in structural components during fundamental structural component level metabolism. There are five types: transforming factors of earth element, water element, fire element, air element and space element.",bhūtāgnih,भूताग्निः,,,"Unknown"
ITA-2.6.8,"Normal state of digestive, metabolic factors",A state in which the action of a transformative factor is normal due to all three dosha being in functional balance.,samāgnih,समाग्निः,,,"Unknown"
ITA-2.6.9,"Intense state of digestive, metabolic factors",A state in which the action of a transformative factor is considerably intensified due to the dominant influence of pitta.,tīksnāgnih,तीक्ष्णाग्निः,,,"Unknown"
ITA-2.6.10,"Irregular state of digestive, metabolic factors","A state in which the action of a transformative factor is rendered erratic (either excessive, diminished or fluctuating) due to the dominant influence of vata.",viṣamāgnih,विषमाग्निः,,,"Unknown"
ITA-2.6.11,"Depressed or weak state of digestive, metabolic factors",A state in which the action of a transformative factor is weak or depressed due to the dominant influence of kapha.,mandāgnih,मन्दाग्निः,,,"Unknown"
ITA-2.6.12,Metabolic factors located in primary circulating nutrient fluid,The transformative factor which converts digested food to primary circulating nutrient fluid.,rasadhātvagniḥ,रसधात्वग्निः,,,"Unknown"
ITA-2.6.13,Metabolic factors located in blood,The transformative factor which converts primary circulating nutrient fluid to blood.,raktadhātvagniḥ,रक्तधात्वग्निः,,,"Unknown"
ITA-2.6.14,Metabolic factors located in muscle,The transformative factor which converts blood to muscle tissue.,māṃsadhātvagniḥ,मांसधात्वग्निः,,,"Unknown"
ITA-2.6.15,Metabolic factors located in fat,The transformative factor which converts muscle tissue to fat.,medodhātvagniḥ,मेदोधात्वग्निः,,,"Unknown"
ITA-2.6.16,Metabolic factors located in bone,The transformative factor which converts fat to bone,asthidhātvagnih,अस्थिधात्वग्निः,,,"Unknown"
ITA-2.6.17,Metabolic factors located in bone marrow,The transformative factor which converts bone to bone marrow,majjādhātvagnih,मज्जाधात्वग्निः,,,"Unknown"
ITA-2.6.18,Metabolic factors located in semen,The transformative factor which converts bone marrow to reproductive fluids and semen.,śukradhātvagniḥ,शुक्रधात्वग्निः,,,"Unknown"
ITA-2.6.19,Theory of sequential transformation,A theory to explain the process of nourishment of fundamental structural components: it states that the seven structural components are sequentially transformed from primary circulating nutrient fluid (primary product of digestion) to semen just as milk is transformed into curd and then butter and ghee.,kṣīradadhinyāyah,क्षीरदधिन्यायः,,,"Unknown"
ITA-2.6.20,Theory of serial distribution,"A theory to explain the nourishment of fundamental structural components: it states that primary circulating nutrient fluid (primary product of digestion) is supplied to all seven structural components through channels for their nourishment, just as tributary canals subdivide and distribute irrigation water to every part of a paddy field.",kedārīkulyānyāyaḥ,केदारीकुल्यन्यायः,,,"Unknown"
ITA-2.6.21,Theory of selective uptake,A theory to explain the process of nourishment of fundamental structural components: it states that each structural component selectively absorbs its specific nutrients just as a pigeon picks grains from a granary according to its need.,khalekapotanyāyaḥ,खलेकपोतन्यायः,,,"Unknown"
ITA-2.6.22,Chyle,"The nourishing part of food which forms the primary circulating nutrient fluid (primary product of digestion), under the action of transformative factors in the gastrointestinal tract following digestion.",āhārarasah,आहाररसः,,,"Unknown"
ITA-2.6.23,Sweet predominant stage of digestion,During the first and initial stage of digestion in the gastrointestinal tract the ingested food is transformed to a predominantly sweet state. This results in the generation of kapha-dosha.,madhuraavasthāpākaḥ,मधुरावस्थापाकः,,,"Unknown"
ITA-2.6.24,Sour predominant stage of digestion,During the second and intermediate stage of digestion in the gastrointestinal tract the ingested food is transformed to a predominantly sour state. This results in the generation of pitta-dosha.,amla avasthāpākaḥ,अम्लावस्थापाकः,,,"Unknown"
ITA-2.6.25,Pungent predominant stage of digestion,During the third and final stage of digestion in the gastrointestinal tract the ingested food is transformed to a predominantly pungent state. This results in the generation of vata-dosha.,katuavasthāpākaḥ,कटु-अवस्थापाकः,,,"Unknown"
ITA-2.6.26,"Digestion, metabolism, bio- transformation",The function of transformative factor.,pākah,पाकः,,,"Unknown"
ITA-2.6.27,Digestive power,The capacity to digest consumed food.,jaranaśaktih,जरणशक्तिः,,,"Unknown"
ITA-2.6.28,"Ingestive power, food intake capacity","The capacity to ingest food, the amount of food which does not disturb an individual's physiological functions. It differs from person to person and from time to time, being directly dependent on the individual's digestive fire and psychological status.",abhyavaharaṇa-śaktih,अभ्यवहरणशक्तिः,,,"Unknown"
ITA-2.6.29,Three divisions of stomach capacity,"A division of stomach capacity into three parts, i.e.one part for solid items, one part for liquids and one part to be left empty for vata, pitta and kapha.",trividha-kuksih,त्रिविधकुक्षिः,,,"Unknown"
ITA-2.6.30,Digestion,The fundamental function of transformative factors in the gastrointestinal tract.,pācanam,पाचनम्,,,"Unknown"
ITA-2.6.31,Nutrient part of food,The nutrient component formed during the various processes of biotransformation.,prasādaḥ,प्रसादः,,,"Unknown"
ITA-2.6.32,Initial phase of digestion,"The initial phase of digestion which involves the action of transformative factors on food in the gastrointestinal tract, which has three sequential stages resulting in the production of kapha, pitta and vata respectively.",avasthāpākaḥ,अवस्थापाकः,,,"Unknown"
ITA-2.6.33,Final phase of digestion,"The final phase of action of transformative factors in the gastrointestinal tract on food, which results in the separation of nutrient part and waste product, and the manifestation of post-digestive transformation).",nisthāpākah,निष्ठापाकः,,,"Unknown"
ITA-2.6.34,Internal-external division,An arbitrary division of the body into interior and exterior parts for descriptive purposes.,antarbahirvibhāgah,अन्तर्बहिर्विभागः,,,"Unknown"
