Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,
ITA-1.9.3.7.15,Telluric creatures,"Smaller creatures which sprout from the earth or dwell underneath mud, e.g. frogs.",udbhijaḥ,उद्भिजः,,
ITA-1.9.3.7.16,Insentient material,"A non-living, inanimate substance lacking all consciousness, e.g. minerals.",acetana-dravyam/ nirindriyaḥ,अचेतन-द्रव्यम्/निरिन्द्रियः,,
ITA-1.9.3.7.17,Mineral substances,An inorganic substance naturally occurring in the earth which has a consistent and distinctive set of physical properties and composition; a mineral.,khanijaḥ,खनिजः,,
ITA-1.9.3.7.18,Synthetic substances,Any artificial or synthesized substance.,kṛtrimam,कृत्रिमम्,,
ITA-1.9.4.1,"Property, quality or trait","Attribute, property or quality of a substance; it forms an inseparable entity with substance (dravya); quality is devoid of any action on its own, although it is responsible for action through dravya.",guṇaḥ,गुणः,,
ITA-1.9.4.2,Three primordial psychophysical attributes of nature,"The three primary attributes of the universe, also indicative of mental attributes: tranquillity or harmony (sattva), agitation or activity (rajas) and inertia (tamas). The interplay of these guṇas defines the character of a person or thing and determines the progress of life.","triguṇāḥ, mahāguṇaḥ","त्रिगुणा, महागुणः",,
ITA-1.9.4.3,"Tranquillity, harmony","Characterized by lightness, knowledge and enlightenment, it is a stable state of mind and does not vitiate the same.",sattvam,सत्त्वम्,,
ITA-1.9.4.4,"Agitation, activity","Characterized by activity, initiation, action and attachment, it is capable of vitiating the mind.",rajaḥ,रजः,,
ITA-1.9.4.5,Inertia,"Characterized by darkness, ignorance and laziness, it is capable of vitiating the mind.",tamaḥ,तमः,,
ITA-1.9.4.1.1,Objects of special senses,"The five objects of sensory perception: touch, smell, sight, taste and sound.","arthaḥ, vaiśeṣikaguṇāḥ","अर्थः, वैशेषिकगुणाः",,
ITA-1.9.4.1.2,Smell,Trait of earth element.,gandhaḥ,गन्धः,,
ITA-1.9.4.1.3,Taste,Trait of water element.,rasaḥ,रसः,,
ITA-1.9.4.1.4,"Visual form, colour",Trait of fire element.,rūpaḥ,रूपः,,
ITA-1.9.4.1.5,Touch,Trait of air element.,sparśaḥ,स्पर्शः,,
ITA-1.9.4.1.6,Sound,Trait of space element.,śabdaḥ,शब्दः,,
ITA-1.9.4.2.1,"Physical attributes, properties or qualities",The property of a substance which is related to body tissues; it is extensively used for selecting and preparing Ayurveda medicines and applying them successfully.,śarīra-guṇāḥ/gurvādi-guṇāḥ,शारीर-गुणाः/गुर्वादि-गुणाः,,
ITA-1.9.4.2.2,Heaviness,The quality of a substance which is responsible for nourishment.,guruḥ,गुरुः,,
ITA-1.9.4.2.3,Lightness,The quality of a substance which promotes lightness and decreases physical bulk and heaviness.,laghuḥ,लघुः,,
ITA-1.9.4.2.4,"Mildness, slowness","The quality of a substance which is responsible for slow, mild or low intensity activity or response.",mandaḥ,मन्दः,,
ITA-1.9.4.2.5,"Sharpness, speed","The quality of a substance which is responsible for rapid, strong or high intensity activity or response.",tīkṣṇaḥ,तीक्ष्णः,,
ITA-1.9.4.2.6,Coldness,The quality of a substance which is responsible for promoting coldness and stiffness (stambhana).,śītaḥ,शीतः,,
ITA-1.9.4.2.7,Hotness,"The quality of a substance which is responsible for promoting sweating, softening or ripening (paka).",uṣṇaḥ,उष्णः,,
ITA-1.9.4.2.8,"Unctuousness, oiliness","The quality of a substance which is responsible for imparting smoothness, oiliness and moisture.",snigdhaḥ,स्निग्धः,,
ITA-1.9.4.2.9,Dryness,The quality of a substance which is responsible for dryness and absorbs moisture.,rūkṣaḥ,रूक्षः,,
ITA-1.9.4.2.10,"Smoothness, slipperiness",The quality of a substance which is responsible for smoothness.,ślakṣṇaḥ,श्लक्ष्णः,,
ITA-1.9.4.2.11,Roughness,The quality of a substance which is responsible for roughness.,kharaḥ,खरः,,
ITA-1.9.4.2.12,"Density, viscidity",The quality of a substance which is responsible for density.,sandraḥ,सान्द्रः,,
ITA-1.9.4.2.13,"Fluidity, liquidness",The quality of a substance which is responsible for fluidity.,dravaḥ,द्रवः,,
ITA-1.9.4.2.14,"Softness, mildness",The quality of a substance which is responsible for producing softness or fragility.,mṛduḥ,मृदुः,,
ITA-1.9.4.2.15,Hardness,The quality of a substance which is responsible for firmness or hardness.,kaṭhinaḥ,कठिनः,,
ITA-1.9.4.2.16,"Minuteness, penetrating",The quality of a substance which is responsible for minuteness and consequent ability to pass through barriers.,sūkṣmaḥ,सूक्ष्मः,,
ITA-1.9.4.2.17,"Grossness, bulkiness",The quality of a substance which is responsible for bulkiness and consequent ability to fill spaces.,sthūlaḥ,स्थूलः,,
ITA-1.9.4.2.18,"Stability, immobility",The quality of a substance which is responsible for maintaining stability and position.,sthiraḥ,स्थिरः,,
ITA-1.9.4.2.19,"Instability, mobility","The quality of a substance which is responsible for stimulation and mobility (prerana), and which governs normal movements such as peristalsis.",saraḥ,सरः,,
ITA-1.9.4.2.20,"Conspicuous-ness, leanness, shininess",The quality of a substance which is responsible for purging and keeping tissues free of vitiated substances.,viśadaḥ,विशदः,,
ITA-1.9.4.2.21,"Sliminess, murkiness",The quality of a substance which is responsible for providing a coating effect to body tissues.,picchilaḥ,पिच्छिलः,,
ITA-1.9.4.3.1,Qualities of the self,"The six attributes of the self (atma): intelligence (buddhi), pleasure (sukha), sorrow (duhkha), desire (iccha), aversion (dvesha) and effort (prayatna).",atmaguṇaḥ,आत्मगुणः,,
ITA-1.9.4.3.2,"Intelligence, intellect","The power of forming and retaining concepts and general notions: intelligence, reason, intellect, discernment or judgement.",buddhiḥ,बुद्धिः,,
ITA-1.9.4.3.3,"Pleasure, happiness","A favourable perception including happiness, delight, joy and pleasure.",sukham,सुखम्,,
ITA-1.9.4.3.4,"Sorrow, pain","An unfavourable perception including unhappiness, sorrow and grief; the opposite of pleasure.",duḥkham,दुःखम्,,
ITA-1.9.4.3.5,"Desire, craving",The direct cause of action that seeks pleasure.,icchā,इच्छा,,
ITA-1.9.4.3.6,Aversion,"The opposite of desire. The Sanskrit term dvesha, also denotes a suppressible urge.",dveṣaḥ,द्वेषः,,
ITA-1.9.4.3.7,Effort,The quality of being stimulated or striving to achieve an object.,prayatnaḥ,प्रयत्नः,,
ITA-1.9.4.4.1,"Qualities beginning with term ""paratva""","A group of ten clinical decision criteria commencing with ""paratva that support a practitioner in the analytical process of deciding on appropriate interventions.",parādigūṇaḥ,परादिगुणः,,
ITA-1.9.4.4.2,"Relatively superior, nearer the cause","Priority, superiority or greater utility of a substance over the other substances, e.g. in pharmaceutical preparations.",paratvam,परत्वम्,,
ITA-1.9.4.4.3,"Relatively inferior, further from the cause",Inferiority of substance in relation to other substances.,aparatvam,अपरत्वम्,,
ITA-1.9.4.4.4,"Number, enumeration, tally",The quality that enables determination of amounts and calculations.,saṃkhyā,संख्या,,
ITA-1.9.4.4.5,Combination,A combination or amalgam of two or more substances.,saṃyogaḥ,संयोगः,,
ITA-1.9.4.4.6,Division,The quality of being able to divide or subdivide a particular substance.,vibhāgaḥ,विभागः,,
ITA-1.9.4.4.7,"Separation or exclusion, particularity",The quality by which one substance is differentiated or separated from the other.,pṛthaktvam,पृथक्त्वम्,,
ITA-1.9.4.4.8,"Quantity, measurement",The quality by which the measurement of various substances is possible.,parimāṇaḥ,परिमाणः,,
ITA-1.9.4.4.9,"Logical management, rationale",The quality of being able to intelligently consider circumstances and act on that basis; also considered as one of the methods of investigation and examination.,yuktiḥ,युक्तिः,,
ITA-1.9.4.4.10,Alteration of properties,The quality of being able to induce a change or transformation in the original properties of any substance.,saṃskāraḥ,संस्कारः,,
ITA-1.9.4.4.11,Practice,"The quality of being able to repeat an action or procedure to acquire expertise, as exemplified by the saying ""practice makes perfect"": an important quality for physicians and pharmacists.",abhyāsaḥ,अभ्यासः,,
ITA-1.9.5.1,Action,"Activity, one of the six ontological categories of an object. It refers to pharmacological, nutritional and action in the context of medical practice.",karma,कर्म,,
ITA-1.9.6.1,Inherence,"Coexistence or concomitance, an intimate and constant relation between the whole and its parts or the basic elements (mahabhuta) and their qualities.",samavāyaḥ,समवायः,,
ITA-1.9.7.1,Nonexistence,"Absence, negation or nonexistence: there are four kinds.",abhāvaḥ,अभावः,,
ITA-1.9.7.2,Prior nonexistence,Antecedent nonbeing of an entity before its production or manifestation.,prāgabhāvaḥ,प्रागभावः,,
ITA-1.9.7.3,Posterior nonexistence,An entity that ceases to exist after its destruction.,pradhvaṃsābhāvaḥ,प्रध्वंसाभावः,,
ITA-1.9.7.4,Absolute nonexistence,"Absolute nonexistence, without beginning or end.",atyantābhāvaḥ,अत्यन्ताभावः,,
ITA-1.9.7.5,Mutual nonexistence,"Nonexistence of a substance in the form of another substance. It refers to the difference of one thing from another thing. e.g. a table is not the chair, denoting the mutual exclusiveness of table and chair and the independent existence of one with respect to the existence or non-existence of the other.",anyonyābhāvaḥ,अन्योन्याभावः,,
ITA-1.10.1,Major triad of Ayurveda texts,"The three principal texts of Ayurveda. Carakasamhita, Sushrutasamhita and the writings of Vāgbhaṭa: Ashtangasamgraha and Ashtangahridaya.","bṛhattrayī (Carakasaṃhitā, Suśrutasaṃhitā, Astāṅgasaṃgraha, Astāṅgahṛdaya)","बृहत्त्रयी, (चरकसंहिता, सुश्रुतसंहिता, अष्टाङ्गसंग्रह, अष्टा‌ङ्गहृदय)",,
ITA-1.10.2,Lesser triad of Ayurveda texts,"The supportive texts of Ayurveda. Madhavanidana, Sharangadharasamhita and Bhavaprakāśa.","Laghutrayī (Mādhavanidāna, Śārṅgadharasaṃhitā, Bhāvaprakāśa)","लघुत्रयी (माधवनिदान, शार्ङ्गधरसंहिता, भावप्रकाश)",,
ITA-1.10.3,Materia medica,"A glossary setting out synonyms, as well as the properties, names and actions of drugs, plants, minerals or other substances administered either as food or medicines to the human body.",nighaṇṭuḥ,निघण्टुः,,
ITA-1.11.1,Ten items for clinical investigation,"Ten important aspects of medical examination: principal agent (karana); tool, instrument (karana); substratum of treatment (karyayoni); treatment protocol (karya); immediate outcome, primary endpoint (karyaphala); consequence, long-term effect (anubandha); habitat (desha); time (kala); action (pravritti); and ailment-countering stratagem, means of action (upaya).","daśavidhaparīkṣyabhāvaḥ (kāraṇa, karaṇa, kāryayoni, kārya, kāryaphala, anubandha, deśaḥ, kālaḥ, pravṛttiḥ, upāyaḥ)","दशविधपरीक्ष्यभावः (कारण, करण, कार्ययोनि, कार्य, कार्यफल, अनुबन्ध, देशः, कालः, प्रवृत्ति, उपायः)",,
ITA-1.11.2,Principal agent,"The means by which an action is effectuated, the idea expressed by instrumental cause: in the medical context may often refer to the physician, who is instrumental in maintaining fundamental bodily equilibrium.",kāraṇam,कारणम्,,
ITA-1.11.3,"Tool, instrument","The tool or instrument used for treatment, i.e. a medicine or procedure.",karaṇam,करणम्,,
ITA-1.11.4,Substratum of treatment,"The intimate cause of illness, i.e. a disturbance of the fundamental bodily equilibrium.",kāryayoniḥ,कार्ययोनिः,,
ITA-1.11.5,Treatment protocol,"The process undertaken to attain health or the fundamental bodily equilibrium (dhatusamya), i.e. the treatment process.",kāryaḥ,कार्यः,,
ITA-1.11.6,"Immediate outcome, primary endpoint","The aim of treatment: to bring mind, intellect, the sense organs and the body into equilibrium and attain a state of healthiness or happiness.",kāryaphalam,कार्यफलम्,,
ITA-1.11.7,"Consequence, long-term effect","Continuity of effect or long-term outcome, which includes the achievement of healthy longevity.",anubandhaḥ,अनुबन्धः,,
ITA-1.11.8,Habitat,"Land, habitat or environment; it may designate body parts as well as geographical regions.",deśaḥ,देशः,,
ITA-1.11.9,Time,"Time in general including the seasons, the point when something occurs (which may refer to diseases).",kālaḥ,कालः,,
ITA-1.11.10,Action,The onset of a treatment or therapeutic action.,pravṛttiḥ,प्रवृत्तिः,,
ITA-1.11.11,"Ailment-countering stratagem, means of action","A word meaning excellence, goodness or skilfulness: it is often applied to the physician and the justness of any chosen therapy or means of action.",upāyaḥ,उपायः,,
ITA-1.11.12,Prompt and appropriate action,The ability to make correct and rapid decisions under pressing conditions.,pratipattiḥ,प्रतिपत्तिः,,
ITA-1.11.13,Components of medical practice,"These four components or elements are: the physician (vaidya, bhishak), materials for treatment (dravya), attendants or paramedics (upasthata) and the patient (rogi).",pādacatuṣṭayam,पादचतुष्टयम्,,
ITA-1.11.14,Physician,"The physician or medical practitioner is expected to have the following qualities: to be an expert in medical treatment (daksha), academically qualified (trirthashastrartha), experienced (drishtakarma), in good physical and mental health (shuci) and able to fully appreciate the state of health or illness of the patient.",vaidyaḥ,वैद्यः,,
ITA-1.11.15,Materials for treatment,"The material employed for treatment is expected to have the following qualities: utility in various dosage forms (bahukalpa), multitude of therapeutic qualities (bahuguna), wholesome nature (sampanna) and applicable in various contexts (yogyam).","dravya, auṣadha","द्रव्य, औषध",,
ITA-1.11.16,"Attendants, paramedics","An attendant or paramedic is expected to have the following qualities: to be kind-hearted (anurakta), pure in mind, thoughts and action (shuci), skilled (daksha) and intelligent (buddhiman).",upasthātā,उपस्थाता,,
ITA-1.11.17,Patient,"A patient is expected to have the following qualities: to be able to afford treatment personally or through a system support (adhya), consenting (bishagvashya), bear in mind instructions personally or through a reminder system (jnapakah) and exert willpower (satvavan).",rogi,रोगि,,
ITA-2.1.1,Dosha,The regulatory functional factors of the body formed by the synchronized interplay between the five basic elements within any living system.,doṣaḥ,दोषः,,
ITA-2.1.2,Three doshas or tridosha,"The three regulatory functional factors of the body are: vata, pitta and kapha.","tridoṣaḥ, śārīrikadoṣa","त्रिदोषः, शारीरिकदोष",,
ITA-2.1.1.1,"Vata, dosha regulating movement and cognition","One of the three regulatory functional factors (dosha). The functional balance governing all sensory perceptions, motor activities and higher mental activities. The predominant basic elements in vata are air and space.",vātaḥ,वातः,,
ITA-2.1.1.2,"Vata, dosha that provides the attribute of life to an organism, life force","Subtype of vata seated in the head and controlling the intellect, heart, sensory and motor organs and mind. It also regulates activities such as respiration, spitting, sneezing, belching and swallowing. Also denotes life or vitality, which is evidenced by breathing and all kinds of movements relating to the living body.",prāṇaḥ,प्राणः,,
ITA-2.1.1.3,Ascending vata,"Subtype of vata seated in the chest region which extends from the umbilical region to the neck or throat. Its functions include effort, strength, governing the voice and speech production.",udānaḥ,उदानः,,
ITA-2.1.1.4,Circulating vata,"Subtype of vata seated in the cardiac region (hṛdaya), which circulates or diffuses through the body. It performs the function of circulating of fluids through heart to all parts of the body, as well as transporting various materials from one body part to another.",vyānaḥ,व्यानः,,
ITA-2.1.1.5,Kindling vata,Subtype of vata seated at the navel (between stomach and intestines) and close to digestive fire: it is responsible for metabolism and transformation.,samānaḥ,समानः,,
ITA-2.1.1.6,Descending vata,"Subtype of vata seated in the pelvic region and its vicinity. It exerts a downward force. It controls functions like defecation, micturition, parturition, menstruation and ejaculation.",apānaḥ,अपानः,,
ITA-2.1.1.7,Functions of vata,Pitta is one of the three regulatory functional factors; it is responsible for digestion and metabolism in the body. The predominant basic elements in pitta are fire and water.,vāta-karma,वात-कर्म,,
ITA-2.1.1.8,Enthusiasm,,utsāhaḥ,उत्साहः,,
ITA-2.1.1.9,Expiration,,ucchvāsaḥ,उच्छवासः,,
ITA-2.1.1.10,"Inspiration, inhalation",,niḥśvāsaḥ,निःश्वासः,,
ITA-2.1.1.11,"Motion, action, function",,ceṣṭā,चेष्टा,,
ITA-2.1.1.12,Gait,,gatiḥ,गतिः,,
ITA-2.1.1.13,Closure of eyelid,,nimeṣaḥ,निमेषः,,
ITA-2.1.1.14,Opening of eyelid,,unmeṣaḥ,उन्मेषः,,
ITA-2.1.2.1,"Pitta, dosha regulating body temperature and metabolic activities",One of the three regulatory functional factors; it is responsible for digestion and metabolism in the body. The predominant basic elements in pitta are fire and water.,pittam,पित्तम्,,
ITA-2.1.2.2,Digesting pitta,Subtype of pitta mainly responsible for digestion. It divides the food into nutritive and waste portions and supports other subtypes of pitta.,pācaka-pittam,पाचकपित्तम्,,
ITA-2.1.2.3,Colouring pitta,"Subtype of pitta seated in liver, spleen and its pigment in blood.",rañjaka-pittam,रञ्जकपित्तम्,,
ITA-2.1.2.4,Pitta for vision,Subtype of pitta seated in the eye which is responsible for visual perception.,ālocaka-pittam,आलोचकपित्तम्,,
ITA-2.1.2.5,Pitta for complexion,Subtype of pitta seated in the skin which is responsible for its glossiness or lustre.,bhrājakapittam,भ्राजकपित्तम्,,
ITA-2.1.2.6,Pitta for intellect,Subtype of pitta seated in the heart which is responsible for driving the higher mental functions involving decisions and actions for accomplishments.,sādhakapittam,साधकपित्तम्,,
ITA-2.1.2.7,Functions of pitta,General term for functions of pitta,pitta-karma,पित्तकर्म,,
ITA-2.1.2.8,Lustre,,prabhā,प्रभा,,
ITA-2.1.2.9,Hunger,,kṣudhā,क्षुधा,,
ITA-2.1.2.10,Vision,,darśanam,दर्शनम्,,
ITA-2.1.2.11,Metabolic transformation,,paktiḥ,पक्तिः,,
ITA-2.1.2.12,Valour,,śauryam,शौर्यम्,,
ITA-2.1.2.13,Thirst,,"tṛṣṇā, pipāsā","तृष्णा, पिपासा",,
ITA-2.1.3.1,"Kapha, dosha responsible for cohesiveness","One of the three regulatory functional factors responsible for stability, unctuousness, lubrication, immunity and cohesion. The predominant basic elements in kapha are earth and water.","śleṣmā, kapha","श्लेष्मा, कफ",,
ITA-2.1.3.2,Supporting kapha,Subtype of kapha seated in the chest region which supports and sustains the heart and other sites of kapha.,avalambaka-kaphaḥ,अवलम्बककफः,,
ITA-2.1.3.3,Moistening kapha,Subtype of kapha seated in the stomach which helps to moisten and loosen food particles and thus aid digestion.,kledaka-kaphaḥ,क्लेदककफः,,
ITA-2.1.3.4,Taste-perceiving kapha,Subtype of kapha seated in the tongue which assists with the perception of taste.,bodhaka-kaphaḥ,बोधककफः,,
ITA-2.1.3.5,Nourishing kapha,Subtype of kapha seated in the head which nourishes the sensory organs.,tarpaka-kaphaḥ,तर्पककफः,,
ITA-2.1.3.6,Lubricating kapha,Subtype of kapha seated in the joints which provides lubrication.,śleṣaka-kaphaḥ,श्लेषककफः,,
ITA-2.1.3.7,Functions of kapha,"A combined term for the functions of kapha such as physical and mental strength, forgiveness.",kapha-karma,कफकर्म,,
ITA-2.1.3.8,Patience,"A normal function of kapha. It signifies forbearance, forgiveness and resistance.",kṣamā,क्षमा,,
ITA-2.1.3.9,Firmness,"A normal function of kapha. It signifies hardness, fixedness, stability and strength.",dārḍhyam,दार्ज्यम्,,
ITA-2.2.1,Fundamental structural component,"The seven fundamental structural components of the body, which are formed from digested food. They provide nourishment and support to the body. They are primary circulating nutrient fluid (rasa), blood (rakta), muscle (mamsa), fat (medas), bone (asthi), bone marrow (majja) and semen (sukra). The Sanskrit term dhatu also denotes group of metallic ingredients for medicinal usage.",dhātuḥ,धातुः,,
ITA-2.2.2,A bodily structure which can be vitiated by aggravated dosha,,dūṣyam,दूष्यम्,,
ITA-2.2.3,Holding,"Signifies holding, carrying, preserving, protecting and possessing, which are common functions of all structural components. It underlines the importance of the fundamental structural component in holding the body and thereby life together and is also the specific function of bone, which supports other fundamental structural components by providing form and structure to the body.",dhāraṇam,धारणम्,,
ITA-2.2.4,"Primary circulating nutrient fluid, primary product of digestion",The first of the seven fundamental structural components. Its major function is nourishment. It is the primary product of digestion and circulates constantly throughout the body from the heart and nourishes other tissues.,"rasa-dhātuḥ, rasaḥ","रसधातुः, रसः",,
ITA-2.2.5,Blood,The second of the seven fundamental structural components. Its function is to give life. It is formed in the liver and spleen with the help of colouring pitta and its metabolic component and receives its name from the red colour.,"rakta-dhātuḥ, raktam, śoṇitam","रक्तधातुः, रक्तम्, शोणितम्",,
ITA-2.2.6,Giving life,"One of the functions of blood is to give, quicken and vivify life.",jīvanam,जीवनम्,,
ITA-2.2.7,Nourishment of blood,One of the functions of primary circulating nutrient fluid.,raktapustiḥ,रक्तपुष्टिः,,
ITA-2.2.8,Muscle,The third of the seven fundamental structural components. Its function is to cover the skeleton.,"māmsa-dhātuḥ, māmsam, peśī","मांसधातुः, मांसम्, पेशी",,
ITA-2.2.9,Fat,The fourth of the seven fundamental structural components. Its function is to provide oleation. It refers to adipose tissue and other lipids in the body.,medo-dhātuḥ,मेदोधातुः,,
ITA-2.2.10,Bone,The fifth of the seven fundamental structural components. Its function is to provide bodily stability. It is composed predominantly of the basic elements earth and space. It refers to bone tissue.,asthi-dhātuḥ,अस्थिधातुः,,
ITA-2.2.11,Diaphysis,Shaft or central portion of a long bone.,kāṇḍam,काण्डम्,,
ITA-2.2.12,Short bones,Minor bones such as the carpal and tarsal bones.,anvasthi,अण्वस्थि,,
ITA-2.2.13,"Articulation, joint",The junction or interface between two bones comprising bone and connective tissue.,"parva, asthisandhayah, asthiparva","पर्व, अस्थिसन्धयः, अस्थिपर्व",,
ITA-2.2.14,Skeleton,The bony framework of the body.,asthipañjaraḥ,अस्थिपञ्जरः,,
ITA-2.2.15,Medullary canal,The cavity within the bone containing marrow.,asthivivaram,अस्थिविवरम्,,
ITA-2.2.16,Bone marrow,The sixth of the seven fundamental structural components. It is the soft organic material that fills bone cavities. Its function is replenishment of body tissues.,"majjā-dhātuḥ, asthisāram","मज्जाधातुः, अस्थिसारम्",,
ITA-2.2.17,Replenishment,The essential function of bone marrow is to fill or complete a cavity or container; replenish the body with structural components.,pūraņam,पूरणम्,,
ITA-2.2.18,Reproductive fluids; semen,"The seventh of the seven fundamental structural components. It is responsible for reproductive function, and is generally equated with reproductive cells (semen, ovum). It occurs in two forms: the first which pervades the entire body and the second which fertilizes the ovum.",śukradhātuḥ,शुक्रधातुः,,
ITA-2.2.19,Semen,Part of seminal tissue. Predominantly composed of water element. It generally refers to the ejaculate and carries the male seed.,retas,रेतस्,,
ITA-2.2.20,Seed,Factors responsible for conception.,bījam,बीजम्,,
ITA-2.2.21,Male seed,Male factors responsible for conception.,pumbījam,पुंबीजम्,,
ITA-2.2.22,Female seed,Female factors responsible for conception. Generally referred to along with menstrual fluid.,strībījam,स्त्रीबीजम्,,
ITA-2.2.23,Virility,"Generative power, potency to produce a healthy progeny.",vrsatā,वृषता,,
ITA-2.2.24,"Healthy sperm, ovum","Normal, healthy and potential sperm or ovum.",kārmuka-bījam,कार्मुकबीजम्,,
ITA-2.2.25,Ojas,"The essence of seven fundamental structural components: vital for life, providing strength and resistance to disease and supporting mental function.",ojas,ओजस्,,
ITA-2.2.26,Equilibrium of fundamental structural components,"Equilibrium of fundamental structural components is indicated by the absence or alleviation of disorder. Criteria for equilibrium of fundamental structural components include alleviation of disorder, normalcy of voice and complexion, development of the body, increase in strength, desire for food, proper and timely digestion of the food taken, timely sleep, elimination of urine, faeces and semen and overall normalcy of mind, intellect and senses.",dhātusāmyam,धातुसाम्यम्,,
ITA-2.2.27,"Immunity, strength, physical endurance","This is classified into three types: innate strength, acquired strength and seasonal strength.","balam, vyādhikṣamatvam","बलम्, व्याधिक्षमत्वम्",,
ITA-2.2.28,Innate strength,Innate strength or immunity present since birth.,sahaja-balam,सहजबलम्,,
ITA-2.2.29,Acquired strength,Strength or immunity attained by the application of rational means such as rejuvenation therapy.,yuktikṛta-balam,युक्तिकृतबलम्,,
ITA-2.2.30,Seasonal strength,"Strength attained by virtue of a favourable season or age, i.e. winter season, youth.",kālaja-balam,कालजबलम्,,
ITA-2.3.1,Supportive structural component,"Supportive structural components; formed from the fundamental structural components; they do not undergo further transformation: breast milk, menstrual blood, tendons, tubular structures of the body, muscle fat, skin and sinews.",upadhātuh,उपधातुः,,
ITA-2.3.2,Breast milk,Supportive structural component of primary circulating nutrient fluid. It is composed predominantly of the basic element water and nourishes the baby.,stanyam,स्तन्यम्,,
ITA-2.3.3,Menstrual blood,Supportive structural component of primary circulating nutrient fluid (rasa).,"ārtavam, puspam, antahpuspam, śoņitam, ārtavaśoņitam, raja, rajasrāvaḥ","आर्तवम्, पुष्पम्, अन्तःपुष्पम्, शोणितम्, आर्तवशोणितम्, रज, रजस्रावः",,
ITA-2.3.4,Tendon,Supportive structural component of blood.,kandarā,कण्डरा,,
ITA-2.3.5,Intramuscular fat,Supportive structural component of muscle.,vasā,वसा,,
ITA-2.4.1,Excretory products,"Waste products formed during various stages of digestion and metabolism; one of the fundamental constituents of the human body along with dosha (regulatory functional factors) and fundamental structural components; there are two categories: waste products from digestion of food and waste products from transformation of structural components. The waste products from digestion of food comprise urine and faeces. The waste products from transformation of structural components are: phlegm (excretory form of kapha) from the primary product of digestion (the primary circulating nutrient fluid), bile (excretory form of pitta) from blood, mucus of nose and ear wax from muscle, perspiration from fat, nails and hair from bone, and rheum of the eye from bone marrow.",malah,मलः,,
ITA-2.4.2,Waste product,The by-products of either digestion or metabolism which are to be eliminated from the body.,kiṭṭam,किट्टम्,,
ITA-2.4.3,Faeces,"A by-product of digestion, the function of which is to support the body in general and vata and digestive, metabolic factors in particular.","purīṣam, śakrt, vit","पुरीषम्, शकृत, विट",,
ITA-2.4.4,Urine,"A by-product of digestion, whose function is to remove excess watery waste from the body.",mūtram,मूत्रम्,,
ITA-2.4.5,Sweat,"The mala of fat, the function of which is to withhold moisture in the skin.",svedaḥ,स्वेदः,,
ITA-2.4.6,Metabolic waste,The waste products of metabolism.,dhātumalah,धातुमलः,,
ITA-2.4.7,Ear wax,,karnamalah,कर्णमलः,,
ITA-2.4.8,Rheum,,akṣimalah,अक्षिमलः,,
ITA-2.4.9,Mucus of the nose,,nāsikāmalah,नासिकामलः,,
ITA-2.4.10,Mucus of the oral cavity,,āsyamalah,आस्यमलः,,
ITA-2.4.11,Sebum,,lomakūpamalah,लोमकूपमलः,,
ITA-2.4.12,Smegma,,prajananamalah,प्रजननमलः,,
ITA-2.4.13,Beard and moustache,,śmaśru,श्मश्रु,,
ITA-2.5.1,"Channel, conduit",Channels for the transportation of substances from one part to another.,srotah,स्रोतः,,
ITA-2.5.2,Apertures of the body,The external and internal openings of the body.,kāyacchidram,कायच्छिद्रम्,,
ITA-2.5.3,Air passages,Passages for air inside the body.,anilāyanam,अनिलायनम्,,
ITA-2.5.4,Internal channel,"Internal tracts, channels, tubes and ducts.",antarmukhasrotah,अन्तर्मुखस्रोतः,,
ITA-2.5.5,Anal or urethral passage,Passages in the lower part of the body leading to the exterior.,adhahsrotah,अधःस्रोतः,,
ITA-2.5.6,Conduit for vital life,Channels in the body which originate from the heart and carry and circulate vital life (prana) throughout the body.,prāṇavahasrotah,प्राणवहस्रोतः,,
ITA-2.5.7,Respiratory tract,The pathway for inhaled and exhaled air which extends from the external nares to the alveoli.,ucchväsamārgah,उच्छवासमार्गः,,
ITA-2.5.8,"Channel, pathway for fluid circulation",Pathways which refer to water balance in the body.,"Udakavahasrotah, ambuvahasrotah, ambumārgah","उदकवहस्रोतः, अम्बुवहस्रोतः, अम्बुमार्गः",,
ITA-2.5.9,Digestive tract,The pathway for food in the process of digestion.,annavahasrotah,अन्नवहस्रोतः,,
ITA-2.5.10,Channel carrying nutrient fluids,The pathway mediating and distributing the primary circulating nutrient fluid to the body tissues. Entities related to this channel are the heart and vessels carrying primary circulating nutrient fluid.,rasavahasrotah,रसवहस्रोतः,,
ITA-2.5.11,Channel carrying blood,The pathway which carries blood. Entities related to this channel are the liver and spleen.,Raktavahasrotah,रक्तवहस्रोतः,,
ITA-2.5.12,Blood vessels,,asrgvahā,असृग्वहा,,
ITA-2.5.13,Conduit nourishing muscle,Related entities are tendons and skin.,māmsavahasrotah,मांसवहस्रोतः,,
ITA-2.5.14,Channel carrying fat,The pathway for fat. Entities related to this channel are the kidneys and omentum.,medovahasrotah,मेदोवहस्रोतः,,
ITA-2.5.15,Channel carrying bone,The pathway for bone. Entities related to this channel are fat and the hip region.,asthivahasrotah,अस्थिवहस्रोतः,,
ITA-2.5.16,Channel carrying bone marrow,The pathway for bone marrow. Entities related to this channel are bone and joints.,majjāvahasrotah,मज्जावहस्रोतः,,
